epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4025,2.36341,4.62633,2.03022,0.00236,0.70833,0.00649,0.00211,1.98118,5.17671,1.93052,0.0002,0.0002,0.0002
2,101.917,2.05882,3.4193,1.7274,0.00229,0.6875,0.01873,0.00396,1.78206,5.08313,1.67148,0.000411684,0.000411684,0.000411684
3,157.142,1.91499,2.75773,1.65707,0.00201,0.60417,0.03916,0.00574,1.85663,5.20431,1.71326,0.000614656,0.000614656,0.000614656
4,210.034,1.91805,2.68343,1.60792,0.00222,0.66667,0.00585,0.00192,1.85629,5.06754,1.70839,0.000808916,0.000808916,0.000808916
5,259.588,1.87399,2.59145,1.5718,0.00187,0.5625,0.20463,0.04071,1.96117,4.83171,1.93331,0.000994464,0.000994464,0.000994464
6,307.415,1.91722,2.57105,1.61754,0.206,0.0625,0.04352,0.00768,2.08518,5.08808,2.04864,0.0011713,0.0011713,0.0011713
7,354.771,1.88602,2.46334,1.68949,0.56947,0.13821,0.21179,0.04303,2.59252,4.64938,2.02344,0.00133942,0.00133942,0.00133942
8,401.871,1.91816,2.33458,1.6696,0.59735,0.46371,0.41645,0.09201,2.43691,3.58035,2.00484,0.00149884,0.00149884,0.00149884
9,464.809,1.84626,2.48945,1.63901,0.4266,0.375,0.27096,0.05773,2.35628,3.86331,2.17951,0.00164954,0.00164954,0.00164954
10,540.78,1.89209,2.3359,1.69738,0.43834,0.39031,0.31406,0.07499,2.38696,3.49334,1.97714,0.0016436,0.0016436,0.0016436
11,613.229,1.86575,2.23063,1.69211,0.4016,0.44751,0.40175,0.10973,2.24755,3.31179,2.02879,0.001604,0.001604,0.001604
12,686.91,1.859,2.112,1.65348,0.58475,0.5575,0.56616,0.18891,2.17779,2.79477,1.84978,0.0015644,0.0015644,0.0015644
13,760.595,1.82522,2.07205,1.60519,0.49688,0.5,0.42494,0.11682,2.09314,2.873,1.8106,0.0015248,0.0015248,0.0015248
14,1207.16,1.74346,1.97064,1.61171,0.5491,0.52083,0.50807,0.15306,1.91169,2.6496,1.74449,0.0014852,0.0014852,0.0014852
15,1253.25,1.74436,1.85476,1.59612,0.67765,0.58333,0.61685,0.17514,1.98432,2.80609,1.79838,0.0014456,0.0014456,0.0014456
16,1299.19,1.76022,1.84337,1.60312,0.77528,0.58333,0.68008,0.22511,1.99576,2.62623,1.83166,0.001406,0.001406,0.001406
17,1345.41,1.88661,1.8441,1.59533,0.38778,0.29167,0.27247,0.07076,2.32823,3.18215,2.25247,0.0013664,0.0013664,0.0013664
18,1392.32,1.76104,1.84595,1.58139,0.72344,0.58333,0.67266,0.23732,1.68422,2.2929,1.75703,0.0013268,0.0013268,0.0013268
19,1449.69,1.75359,1.81396,1.58967,0.37188,0.52083,0.43017,0.10264,2.20842,2.78499,1.95664,0.0012872,0.0012872,0.0012872
